Country;Explained by: Freedom to make life choices
Finland;0,736
Denmark;0,719
Iceland;0,718
Switzerland;0,677
Netherlands;0,651
Luxembourg*;0,7
Sweden;0,724
Norway;0,728
Israel;0,568
New Zealand;0,68
Austria;0,623
Australia;0,676
Ireland;0,627
Germany;0,585
Canada;0,659
United States;0,574
United Kingdom;0,597
Czechia;0,66
Belgium;0,492
France;0,567
Bahrain;0,693
Slovenia;0,685
Costa Rica;0,661
United Arab Emirates;0,702
Saudi Arabia;0,651
Taiwan Province of China;0,542
Singapore;0,672
Romania;0,605
Spain;0,505
Uruguay;0,665
Italy;0,412
Kosovo;0,599
Malta;0,679
Lithuania;0,496
Slovakia;0,479
Estonia;0,689
Panama;0,592
Brazil;0,546
Guatemala*;0,662
Kazakhstan;0,584
Cyprus;0,448
Latvia;0,502
Serbia;0,546
Chile;0,46
Nicaragua;0,617
Mexico;0,621
Croatia;0,535
Poland;0,523
El Salvador;0,666
Kuwait*;0,617
Hungary;0,485
Mauritius;0,589
Uzbekistan;0,716
Japan;0,537
Honduras;0,582
Portugal;0,655
Argentina;0,555
Greece;0,249
South Korea;0,414
Philippines;0,678
Thailand;0,617
Moldova;0,561
Jamaica;0,567
Kyrgyzstan;0,693
Belarus*;0,342
Colombia;0,545
Bosnia and Herzegovina;0,448
Mongolia;0,398
Dominican Republic;0,606
Malaysia;0,654
Bolivia;0,627
China;0,656
Paraguay;0,629
Peru;0,545
Montenegro;0,46
Ecuador;0,565
Vietnam;0,707
Turkmenistan*;0,649
North Cyprus*;0,523
Russia;0,401
Hong Kong S.A.R. of China;0,4
Armenia;0,558
Tajikistan;0,572
Nepal;0,519
Bulgaria;0,563
Libya*;0,477
Indonesia;0,62
Ivory Coast;0,451
North Macedonia;0,488
Albania;0,511
South Africa;0,442
Azerbaijan*;0,601
Gambia*;0,367
Bangladesh;0,622
Laos;0,679
Algeria;0,146
Liberia*;0,405
Ukraine;0,473
Congo;0,431
Morocco;0,492
Mozambique;0,593
Cameroon;0,397
Senegal;0,494
Niger*;0,571
Georgia;0,508
Gabon;0,343
Iraq;0,328
Venezuela;0,283
Guinea;0,334
Iran;0,281
Ghana;0,5
Turkey;0,209
Burkina Faso;0,382
Cambodia;0,74
Benin;0,479
Comoros*;0,185
Uganda;0,402
Nigeria;0,444
Kenya;0,44
Tunisia;0,316
Pakistan;0,448
Palestinian Territories*;0,336
Mali;0,35
Namibia;0,384
Eswatini, Kingdom of*;0,259
Myanmar;0,513
Sri Lanka;0,529
Madagascar*;0,202
Egypt;0,469
Chad*;0,18
Ethiopia;0,472
Yemen*;0,33
Mauritania*;0,304
Jordan;0,476
Togo;0,292
India;0,647
Zambia;0,525
Malawi;0,477
Tanzania;0,578
Sierra Leone;0,387
Lesotho*;0,419
Botswana*;0,571
Rwanda*;0,621
Zimbabwe;0,329
Lebanon;0,103
Afghanistan;0
xx;
